race_key,date,jo_code,jo_name,race_no,car_no,player_id,finish_order,result_status,result_reason,trifecta,trifecta_payout,popularity
20260809_立川_10R,20260809,28,立川,10,7,014854,5,NORMAL,,1-4-5,14890,45
20260809_立川_10R,20260809,28,立川,10,2,014977,6,NORMAL,,1-4-5,14890,45
20260809_立川_10R,20260809,28,立川,10,6,015426,7,NORMAL,,1-4-5,14890,45
20260809_立川_11R,20260809,28,立川,11,5,015323,1,NORMAL,,5-1-2,9800,32
20260809_立川_11R,20260809,28,立川,11,1,014757,2,NORMAL,,5-1-2,9800,32
20260809_立川_11R,20260809,28,立川,11,2,015329,3,NORMAL,,5-1-2,9800,32
20260809_立川_11R,20260809,28,立川,11,6,015340,4,NORMAL,,5-1-2,9800,32
20260809_立川_11R,20260809,28,立川,11,7,015121,5,NORMAL,,5-1-2,9800,32
20260809_立川_11R,20260809,28,立川,11,3,013737,6,NORMAL,,5-1-2,9800,32
20260809_立川_11R,20260809,28,立川,11,4,014045,7,NORMAL,,5-1-2,9800,32
20260809_立川_12R,20260809,28,立川,12,2,015555,1,NORMAL,,2-7-1,2080,1
20260809_立川_12R,20260809,28,立川,12,7,014552,2,NORMAL,,2-7-1,2080,1
20260809_立川_12R,20260809,28,立川,12,1,015043,3,NORMAL,,2-7-1,2080,1
20260809_立川_12R,20260809,28,立川,12,5,014792,4,NORMAL,,2-7-1,2080,1
20260809_立川_12R,20260809,28,立川,12,3,014852,,落車棄権,,2-7-1,2080,1
20260809_立川_12R,20260809,28,立川,12,4,015352,,落車棄権,,2-7-1,2080,1
20260809_立川_12R,20260809,28,立川,12,6,015747,,落車棄権,,2-7-1,2080,1
20260809_前橋_1R,20260809,22,前橋,1,1,012634,1,NORMAL,,1-2-4,61760,98
20260809_前橋_1R,20260809,22,前橋,1,2,015511,2,NORMAL,,1-2-4,61760,98
20260809_前橋_1R,20260809,22,前橋,1,4,013398,3,NORMAL,,1-2-4,61760,98
20260809_前橋_1R,20260809,22,前橋,1,5,013452,4,NORMAL,,1-2-4,61760,98
20260809_前橋_1R,20260809,22,前橋,1,7,015977,5,NORMAL,,1-2-4,61760,98
20260809_前橋_1R,20260809,22,前橋,1,6,013454,6,NORMAL,,1-2-4,61760,98
20260809_前橋_1R,20260809,22,前橋,1,3,014986,7,NORMAL,,1-2-4,61760,98
