transformed_feature,original_feature,importance
p9_prefecture_福 島,p9_prefecture,0.00010778157959460414
p5_previous_class_L1,p5_previous_class,0.00010716787238785984
p3_prefecture_佐 賀,p3_prefecture,0.00010508769074764218
p7_prefecture_奈 良,p7_prefecture,0.00010352799065687896
p6_riding_style___MISSING__,p6_riding_style,9.99154676344432e-05
p2_prefecture_三 重,p2_prefecture,9.971759681320918e-05
p6_prefecture_宮 崎,p6_prefecture,9.88001887574644e-05
p6_prefecture_茨 城,p6_prefecture,9.803917985054745e-05
p4_prefecture_奈 良,p4_prefecture,9.746526435280232e-05
p6_prefecture_佐 賀,p6_prefecture,9.671487797746532e-05
p7_prefecture_高 知,p7_prefecture,9.657394405061504e-05
p5_prefecture_新 潟,p5_prefecture,9.470143659914501e-05
p3_prefecture_北海道,p3_prefecture,9.171289389537404e-05
p7_prefecture_大 分,p7_prefecture,9.012472103491757e-05
p5_previous_class_SS,p5_previous_class,8.997908485279229e-05
p7_prefecture_富 山,p7_prefecture,8.913911025114342e-05
p6_prefecture_北海道,p6_prefecture,8.865660854679351e-05
